"Item Code",Position,Description,Type,"Interval Months","Interval Hours","Interval Landings","Adjusted Interval","Part Number","Part Serial","Last Completed Date","Last Completed Hours","Last Completed Landings","Last Completed City","Due Next Date","Due Next Hours","Due Next Landings","Time Remaining","Hours Remaining","Landings Remaining",Status,"Status Note"
"051209	",,"INSPECTION DOCUMENT 9",insp,36,,,,,,2022-12-08,8157,6117,SFB,2025-12-31,0,0,"-2 m 11 d",,,Overdue,
"051247	",,"INSPECTION DOCUMENT 47",insp,12,800,,,,,2024-12-31,8166,6121,X60,2025-12-31,8966,0,"-2 m 11 d","780 hrs",,Overdue,
"054920	",APU,"12 MONTH/500 HOUR/1000 CYCLE INSPECT",insp,12,500,1000,,,,2024-12-31,3272,3964,X60,2025-12-31,3772,4964,"-2 m 11 d","500 hrs","998 c",Overdue,12
"054925	",APU,"12 MONTH/1000 HOUR/2000 CYCLE INSPECT",insp,12,1000,2000,,,,2024-12-31,3272,3964,X60,2025-12-31,4272,5964,"-2 m 11 d","1,000 hrs","1,998 c",Overdue,12
"051211	",CAB,"DOC 11 PORTABLE FIRE EXT RECHARGE",insp,72,,,,C352TS,,2020-01-14,8074,6092,,2026-01-31,0,0,"-1 m 11 d",,,Overdue,
"051211	",CKPT,"DOC 11 PORTABLE FIRE EXT RECHARGE",insp,72,,,,C352TS,,2020-01-14,8074,6092,,2026-01-31,0,0,"-1 m 11 d",,,Overdue,
"051211	",,"INSPECTION DOCUMENT 11",insp,72,,,,,,2020-01-14,8074,6092,,2026-01-31,0,0,"-1 m 11 d",,,Overdue,72
"051250	",,"INSPECTION DOCUMENT 50",insp,6,,,,,,2025-07-01,8166,6121,X60,2026-01-31,0,0,"-1 m 11 d",,,Overdue,
"051223	",L,"DOC 23 LEAD ACID BATTERY INSPECT",insp,6,400,,,,,2025-09-25,8166,6121,X60,2026-03-31,8566,0,"19 d","380 hrs",,"50 hr / 90 day",
"051223	",R,"DOC 23 LEAD ACID BATTERY INSPECT",insp,6,400,,,,,2025-09-25,8166,6121,X60,2026-03-31,8566,0,"19 d","380 hrs",,"50 hr / 90 day",
"054910	",APU,"6 MONTH/125 HOUR/250 CYCLE INSPECT",insp,6,125,250,,,,2025-10-25,3272,3966,X60,2026-04-30,3397,4216,"1 m 18 d","125 hrs","250 c","50 hr / 90 day",
"054915	",APU,"6 MONTH/250 HOUR/500 CYCLE INSPECT",insp,6,250,500,,,,2025-10-25,3272,3966,X60,2026-04-30,3522,4466,"1 m 18 d","250 hrs","500 c","50 hr / 90 day",
"057305	",E1**L,"FUEL FILTER REPLACE",insp,,650,,,,,2016-03-22,7562,0,,,8212,0,,"26 hrs",,"50 hr / 90 day",
"057305	",E2**R,"FUEL FILTER REPLACE",insp,,650,,,,,2016-03-22,7562,0,,,8212,0,,"26 hrs",,"50 hr / 90 day",
"051201	",,"INSPECTION DOCUMENT 1",insp,12,400,,,,,2025-07-01,8166,6121,X60,2026-07-31,8566,0,"4 m 19 d","380 hrs",,"100 hr / 12 mo",
"051203	",CAB,"DOC 3 PORTABLE FIRE EXT WEIGH",insp,12,,,,,,2025-07-01,8166,6121,X60,2026-07-31,0,0,"4 m 19 d",,,"100 hr / 12 mo",
"051203	",CKPT,"DOC 3 PORTABLE FIRE EXT WEIGH",insp,12,,,,,,2025-07-01,8166,6121,X60,2026-07-31,0,0,"4 m 19 d",,,"100 hr / 12 mo",
"051203	",,"INSPECTION DOCUMENT 3",insp,12,,,,,,2025-09-25,8166,6121,X60,2026-09-30,0,0,"6 m 18 d",,,"100 hr / 12 mo",
"051242	",,"INSPECTION DOCUMENT 42",insp,12,,,,,,2025-09-25,8166,6121,X60,2026-09-30,0,0,"6 m 18 d",,,"100 hr / 12 mo",
"051207	",,"INSPECTION DOCUMENT 7",insp,24,,,,,,2024-10-31,8166,6121,X60,2026-10-31,0,0,"7 m 19 d",,,"100 hr / 12 mo",
"213000	",,"PRIMARY OUTFLOW VALVE FILTER",comp,36,1200,,,991483-7,na,2023-10-18,8161,6119,SFB,2026-10-31,9361,0,"7 m 19 d","1,175 hrs",,"100 hr / 12 mo",
"262002	",L,"AFT ENGINE FIRE BOTTLE CARTRIDGE",comp,72,,,,30903824,878,2020-10-22,8075,6093,KSRQ,2026-10-31,0,0,"7 m 19 d",,,"100 hr / 12 mo",72
"262002	",R,"AFT ENGINE FIRE BOTTLE CARTRIDGE",comp,72,,,,30903824,786,2020-10-22,8075,6093,KSRQ,2026-10-31,0,0,"7 m 19 d",,,"100 hr / 12 mo",72
"262002	",L,"FORWARD ENGINE FIRE BOTTLE CARTRIDGE",comp,72,,,,30903824,789,2020-10-22,8075,6093,KSRQ,2026-10-31,0,0,"7 m 19 d",,,"100 hr / 12 mo",72
"262002	",R,"FORWARD ENGINE FIRE BOTTLE CARTRIDGE",comp,72,,,,30903824,980,2020-10-22,8075,6093,KSRQ,2026-10-31,0,0,"7 m 19 d",,,"100 hr / 12 mo",72
"291006	",L,"HYDRAULIC RETURN FILTER",comp,36,1200,,,wf334595,na,2023-10-18,8161,6119,SFB,2026-10-31,9361,0,"7 m 19 d","1,175 hrs",,"100 hr / 12 mo",
"291006	",R,"HYDRAULIC RETURN FILTER",comp,36,1200,,,wf334595,na,2023-10-18,8161,6119,SFB,2026-10-31,9361,0,"7 m 19 d","1,175 hrs",,"100 hr / 12 mo",
"291007	",L,"HYDRAULIC CASE DRAIN FILTER",comp,36,1200,,,wf334598,na,2023-10-18,8161,6119,SFB,2026-10-31,9361,0,"7 m 19 d","1,175 hrs",,"100 hr / 12 mo",
"291007	",R,"HYDRAULIC CASE DRAIN FILTER",comp,36,1200,,,wf334598,na,2023-10-18,8161,6119,SFB,2026-10-31,9361,0,"7 m 19 d","1,175 hrs",,"100 hr / 12 mo",
"291012	",,"HYDRAULIC AILERON BOOST FILTER",comp,36,1200,,,wf334598,na,2023-10-18,8161,6119,SFB,2026-10-31,9361,0,"7 m 19 d","1,175 hrs",,"100 hr / 12 mo",
"291015	",,"HYDRAULIC AUXILIARY PUMP FILTER",comp,36,1200,,,wf334598,na,2023-10-18,8161,6119,SFB,2026-10-31,9361,0,"7 m 19 d","1,175 hrs",,"100 hr / 12 mo",
"291020	",L,"HYDRAULIC PRESSURE FILTER",comp,36,1200,,,mf334594,na,2023-10-18,8161,6119,SFB,2026-10-31,9361,0,"7 m 19 d","1,175 hrs",,"100 hr / 12 mo",
"291020	",R,"HYDRAULIC PRESSURE FILTER",comp,36,1200,,,mf334594,na,2023-10-18,8161,6119,SFB,2026-10-31,9361,0,"7 m 19 d","1,175 hrs",,"100 hr / 12 mo",
"051206	",,"INSPECTION DOCUMENT 6",insp,,800,,,,,2016-01-18,7465,5657,,,8265,0,,"79 hrs",,"100 hr / 12 mo",
"051220	",,"INSPECTION DOCUMENT 20",insp,,200,,,,,2019-06-26,8073,6090,,,8273,0,,"87 hrs",,"100 hr / 12 mo",
